,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound,cleaned_text,predicted_sentiment,sentiment_score,predicted_rating,true_sentiment
4396,Syed Zaidi,5,"I have been using it for over a month now, works well with my Samsung Galaxy Note 10.1 tablet. Excellent speed, Do recommend it.",26-05-2013,561,0,0,0,0,0.0,0.0,"using month , works well samsung galaxy note 10.1 tablet . excellent speed , recommend .",POSITIVE,0.8132583498954773,5,POSITIVE
580,Ben Lane,5,I upgraded from my 8 GB SD to this one and it was great to have the extra space.No problems with it.I removed the SD card from my phone and copied the files up to my computer using the adapter that came with the new card.  I copied the files to my new 32 GB MicroSDHC and installed it in my Galaxy S4 and it worked great.I liked the color. Makes it easier to see on my black desk.,23-09-2013,441,0,0,0,0,0.0,0.0,upgraded 8 gb sd one great extra space.no problems it.i removed sd card phone copied files computer using adapter came new card . copied files new 32 gb microsdhc installed galaxy s4 worked great.i liked color . makes easier see black desk .,POSITIVE,0.8801726698875427,5,POSITIVE
1141,"Daniel Morrow ""value vulture""",5,"I love this product! I would recommend this product to anyone, I gave it 5 out of 5 stars because it does everything I need it to plus more!",05-04-2014,247,0,0,0,0,0.0,0.0,"love product ! would recommend product anyone , gave 5 5 stars everything need plus !",POSITIVE,0.9694790244102478,5,POSITIVE
3680,ProVideo1,5,"Hard to believe that 10 years ago you would have needed a big hard drive to have this much room. I use this card in my Samsung Y Duos Smartphone and it provides more than enough room for my entire music library, a bunch of movies, and all of the apps for my phone and I still have more than 3/4 of the space left.Works perfectly and I've always had good luck with SanDisk products.",29-07-2013,497,0,0,0,0,0.0,0.0,"hard believe 10 years ago would needed big hard drive much room . use card samsung duos smartphone provides enough room entire music library , bunch movies , apps phone still 34 space left.works perfectly ive always good luck sandisk products .",POSITIVE,0.8037758469581604,5,POSITIVE
4650,"Troy E. Forbes ""Troy E. Forbes""",5,"Excellent secondary storage device! I have one installed in my mobile phone, and one in my tablet. They have greatly enhanced my multimedia options. My phone has over 4000 songs on it with room for more. My tablet has about 42 full-length good quality movies loaded.",15-10-2013,419,0,0,0,0,0.0,0.0,"excellent secondary storage device ! one installed mobile phone , one tablet . greatly enhanced multimedia options . phone 4000 songs room . tablet 42 fulllength good quality movies loaded .",POSITIVE,0.9252907037734985,5,POSITIVE
2852,Lisa Kennedy,5,It is amazing how much you can hold on such a tiny disc.  Technology is amazing and this is way cheaper than in the stores.,22-08-2013,473,0,0,0,0,0.0,0.0,amazing much hold tiny disc . technology amazing way cheaper stores .,POSITIVE,0.82945317029953,5,POSITIVE
1548,Eli,5,"incredible speed, phone recognized it within moments. I was able to transfer all my books music videos and everything onto my phone and have room to spare without having to worry about a fully consumed memory card. arrived a day earlier than I even assumed.pros:incredible speed.Class 10exactly as orderedtons of storage!cons:I'll be serious, nothing wrong at all here.",23-03-2014,260,0,0,0,0,0.0,0.0,"incredible speed , phone recognized within moments . able transfer books music videos everything onto phone room spare without worry fully consumed memory card . arrived day earlier even assumed.prosincredible speed.class 10exactly orderedtons storage ! consill serious , nothing wrong .",POSITIVE,0.8622771501541138,5,POSITIVE
283,Amazon Customer,5,We bought this to go with our new Samsung Galaxy Tab 4. Works great and allows us to add a lot of videos onto our tablet.,13-06-2014,178,0,0,0,0,0.0,0.0,bought go new samsung galaxy tab 4. works great allows us add lot videos onto tablet .,POSITIVE,0.8428754210472107,5,POSITIVE
697,Brandon,5,Fits my camera perfectly and gets me about 2 hours of video at highest resolution! I love how easy it is to use and the capacity is perfect for my needs.,13-03-2014,270,0,0,0,0,0.0,0.0,fits camera perfectly gets 2 hours video highest resolution ! love easy use capacity perfect needs .,POSITIVE,0.9184898138046265,5,POSITIVE
2731,Kosmic Kurt,5,"SanDisk  is consistently the best media out there.  It works ever time and is always compatible with all my devices.  I have never had an issue with SanDisk.  Quote simply, they just work.",31-12-2013,342,0,0,0,0,0.0,0.0,"sandisk consistently best media . works ever time always compatible devices . never issue sandisk . quote simply , work .",POSITIVE,0.9599390625953674,5,POSITIVE
4016,Ryan S.,5,"I wanted to upgrade my 8gb microsd card for my Samsung Galaxy S3 with more memory. The SanDisk Ultra 64GB Micro Sd XC I class 10 memory Card works perfectly.  Recognizes with 59GBs available blank.  My Mp3s, Mp4s, WMVs, pyvs, etc. all play on demand and without delay or problem.  Amazon shipped it with trouble free packaging ahead of time using their free shipping option (USPS) and I couldn't be more pleased.  I highly recommend this memory card.",12-10-2013,422,0,0,0,0,0.0,0.0,"wanted upgrade 8gb microsd card samsung galaxy s3 memory . sandisk ultra 64gb micro sd xc class 10 memory card works perfectly . recognizes 59gbs available blank . mp3s , mp4s , wmvs , pyvs , etc . play demand without delay problem . amazon shipped trouble free packaging ahead time using free shipping option usps couldnt pleased . highly recommend memory card .",POSITIVE,0.8427492380142212,5,POSITIVE
2474,"Jorge Chancay ""Jichz84""",5,I'm using it on my Sony Xperia Z for 3 months and works without problems.this is a memory card 100% recommended,06-11-2013,397,1,0,1,1,1.0,0.206549314,im using sony xperia z 3 months works without problems.this memory card 100 recommended,POSITIVE,0.8676890730857849,5,POSITIVE
4541,tim,5,"this is by far the very best sd i ever owned. it writes and read at crazy speeds. easy to use and connect to any device.im glad i bought it. plus is waterproof, shatterproof, freeze proof, g-force to break it is incredible.",12-10-2012,787,0,0,0,0,0.0,0.0,"far best sd ever owned . writes read crazy speeds . easy use connect device.im glad bought . plus waterproof , shatterproof , freeze proof , gforce break incredible .",POSITIVE,0.9750176072120667,5,POSITIVE
